date,actual,predicted,ci_lower,ci_upper
2025-12-08,2440.0,2428.5775674925712,2334.235195608308,2522.9199393768345
2025-12-09,2443.0,2431.033365707152,2273.485185379679,2588.581546034625
2025-12-10,2439.0,2432.0783547284555,2210.8393027527086,2653.3174067042023
2025-12-11,2437.0,2433.022231686811,2146.5394003926986,2719.505062980924
2025-12-12,2445.3333333333335,2436.8689708381075,2083.7597442785045,2789.9781973977106
2025-12-13,2453.6666666666665,2440.7184392440677,2019.9665660852638,2861.4703124028715
2025-12-14,2462.0,2444.5581573177406,1955.5134854180035,2933.6028292174774
2025-12-15,2470.0,2444.073406504416,1881.8456945089372,3006.301118499895
2025-12-16,2468.0,2446.459946999946,1810.284342184039,3082.6355518158534
2025-12-17,2481.0,2447.4466994128447,1736.9826217116574,3157.910777114032
2025-12-18,2472.0,2448.3373170930477,1663.5693163613664,3233.105317824729
2025-12-19,2476.0,2452.122490122746,1593.2874020043878,3310.9575782411043
2025-12-20,2480.0,2455.9141882517965,1523.4459078814089,3388.382468622184
2025-12-21,2484.0,2459.699663652141,1454.1862897932378,3465.2130375110446
